track_name	size_bytes	price	rating_count_tot	sup_devices.num	ipadSc_urls.num	lang.num	vpp_lic	currency_USD	cont_rating_12+	cont_rating_17+	cont_rating_4+	cont_rating_9+	prime_genre_Book	prime_genre_Business	prime_genre_Catalogs	prime_genre_Education	prime_genre_Entertainment	prime_genre_Finance	prime_genre_Food & Drink	prime_genre_Games	prime_genre_Health & Fitness	prime_genre_Lifestyle	prime_genre_Medical	prime_genre_Music	prime_genre_Navigation	prime_genre_News	prime_genre_Photo & Video	prime_genre_Productivity	prime_genre_Reference	prime_genre_Shopping	prime_genre_Social Networking	prime_genre_Sports	prime_genre_Travel	prime_genre_Utilities	prime_genre_Weather	user_rating
Blackjack by MobilityWare	-0.26088006902299155	-0.2959602425094711	2.207644771638448	-0.0968084886371818	0.6510506680574688	-0.05491868894904211	0.08364175006200619	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
White Noise	-0.43155055718564195	-0.1262246341476967	0.2711206732140323	-0.0968084886371818	0.6510506680574688	-0.30747447448658577	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
iHeartRadio – Free Music & Radio Stations	-0.23022124617656803	-0.2959602425094711	3.7015679892616524	-0.0968084886371818	0.6510506680574688	-0.4337523672553576	0.08364175006200619	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.0
Line Rider iRide™	-0.5498267877444639	0.04522547530864108	0.11508801783133811	0.7058766412266358	-1.8667417328074443	-0.5600302600241294	0.08364175006200619	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Deliveries: a package tracker	-0.47084197400444505	0.5595758036776545	-0.10839109635602756	-0.0968084886371818	0.14749218788448623	0.4501928821260452	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.0
Hurricane Pro	-0.4722275224425483	0.2166755847649789	-0.14245763193082245	-0.0968084886371818	-1.8667417328074443	-0.5600302600241294	0.08364175006200619	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.0
Fieldrunners	-0.3682315637488681	0.2166755847649789	0.379486586959126	-0.0968084886371818	-1.8667417328074443	-0.5600302600241294	0.08364175006200619	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Juxtaposer	-0.42848866619279663	0.2166755847649789	-0.12257228209530265	-0.0968084886371818	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4.0
Deezer - Listen to your Favorite Music & Playlists	-0.19951965948946235	-0.2959602425094711	-0.10848352494092041	-0.0968084886371818	0.6510506680574688	1.9655275953513072	0.08364175006200619	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3.0
iStellar	-0.43123695568730586	0.38812569422131665	-0.16984290122621956	-0.0968084886371818	-1.8667417328074443	-0.4337523672553576	-11.955751753863076	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4.0
Sonos Controller	-0.2537727187016103	-0.2959602425094711	0.4755066825792456	-0.0968084886371818	0.14749218788448623	0.8290265604323607	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.0
Avertinoo	-0.5320142226389726	0.5595758036776545	-0.16981649305910734	0.17075322131742407	0.6510506680574688	0.19763709658850154	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3.0
Google Earth	-0.4508028382607673	-0.2959602425094711	5.721224997755413	1.5085617710904535	0.6510506680574688	3.1020286302702536	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4.0
iFart - The Original Fart Sounds App	-0.38647176726118143	0.04522547530864108	0.11794009987946047	-0.0968084886371818	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0
PAC-MAN	-0.27363509723713497	-0.2959602425094711	6.548104322290444	0.17075322131742407	0.6510506680574688	0.576470774894817	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0
FOX Sports Mobile	-0.35187296922657146	-0.2959602425094711	0.5889957807441146	-0.0968084886371818	-1.8667417328074443	-0.5600302600241294	-11.955751753863076	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3.0
First Words Animals	-0.4648607381543617	0.04522547530864108	-0.13622530449233283	0.17075322131742407	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
WeatherPro	-0.3620878253041924	0.04522547530864108	-0.14948220438267937	-0.0968084886371818	-1.8667417328074443	0.9553044532011324	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.0
HotSchedules	-0.3260093983819784	0.2166755847649789	-0.12677118066614945	-0.0968084886371818	-0.859624772461479	-0.4337523672553576	0.08364175006200619	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0
Star Walk - Find Stars And Planets in Sky Above	-0.13625198266150715	0.5595758036776545	-0.0523001494096211	-0.0968084886371818	-1.8667417328074443	0.8290265604323607	0.08364175006200619	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
The Weather Channel: Forecast, Radar & Alerts	0.0016699563067164107	-0.2959602425094711	6.374048092853643	-0.0968084886371818	-1.8667417328074443	3.480862308576569	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.0
Big Day - Event Countdown	-0.5177824164599373	-0.1262246341476967	-0.15951730788533214	0.17075322131742407	-1.8667417328074443	0.19763709658850154	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0
12 Steps AA Companion - Alcoholics Anonymous	-0.46986410751417884	0.2166755847649789	-0.14933695946356204	-0.0968084886371818	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
OpenTable - Restaurant Reservations	-0.29431854151375786	-0.2959602425094711	1.3341814403174186	-0.0968084886371818	-1.3631832526344616	0.07135920381972971	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
VLC Remote	-0.4666967323809841	0.5595758036776545	-0.14347434636464385	-0.0968084886371818	0.6510506680574688	3.480862308576569	0.08364175006200619	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
gFlashPro - Flashcards & Tests	-0.4820318456496201	0.38812569422131665	-0.1600982875618015	-0.0968084886371818	-0.35606629228849634	-0.30747447448658577	0.08364175006200619	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Lose It! – Weight Loss Program and Calorie Counter	-0.04755122431849297	-0.2959602425094711	4.765909552469982	-0.0968084886371818	-0.35606629228849634	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Target	-0.16810534212432002	-0.2959602425094711	1.25753173527413	-0.0968084886371818	-1.8667417328074443	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3.0
Fish Tycoon	-0.5166451572194825	-0.1262246341476967	0.07988593107071673	2.578808610908877	-1.8667417328074443	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Amazon App: shop, scan, compare, and read reviews	-0.18220885678130877	-0.2959602425094711	1.497595178407985	-0.0968084886371818	0.6510506680574688	0.32391498935727336	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4.0
Touchgrind	-0.4007121262083532	0.5595758036776545	0.30160890214511815	0.7058766412266358	-1.8667417328074443	-0.6863081527929012	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
ProPresenter Remote	-0.4237732400269063	0.5595758036776545	-0.1648253494748932	-0.0968084886371818	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.0
iReal Pro - Music Book & Play Along	-0.3782240478549416	1.9311766793283567	-0.15188534758989358	-0.0968084886371818	0.6510506680574688	3.480862308576569	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.0
NRJ Radio	-0.4056670298820639	-0.2959602425094711	-0.1697372685577706	-0.0968084886371818	0.6510506680574688	-0.18119658171781394	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.0
Chase Mobile℠	-0.44442247323098344	-0.2959602425094711	2.909877547403687	-0.0968084886371818	-1.8667417328074443	-0.4337523672553576	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
大辞林	0.030498486771941852	3.4742276644353964	-0.16939396238531143	-0.0968084886371818	0.6510506680574688	-0.4337523672553576	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4.0
Allrecipes Dinner Spinner	-0.4530721727396359	-0.2959602425094711	1.2736143090454866	-0.0968084886371818	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
新浪新闻-阅读最新时事热门头条资讯视频	-0.23383906709828195	-0.2959602425094711	-0.1408071214863072	-0.0968084886371818	-1.8667417328074443	-0.5600302600241294	0.08364175006200619	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4.0
MotionX GPS	-0.3971598765090187	0.04522547530864108	0.027426107102243826	-0.0968084886371818	-1.8667417328074443	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4.0
AccuWeather - Weather for Life	-0.04786767673954123	-0.2959602425094711	1.733974682229682	-0.0968084886371818	-1.3631832526344616	4.7436412362642875	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.0
Mint: Personal Finance, Budget, Bills & Money	-0.10090339195360264	-0.2959602425094711	2.9055201998301667	-0.0968084886371818	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
